Chapter,Class,Subject,category,correct_ans,opt_1,opt_2,opt_3,question
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,জিপিএস,কম্পিউটার,ইন্টারনেট,মোবাইল ফোন,কোন আবিষ্কারের ফলে নতুন কোথাও ভ্রমণের ক্ষেত্রে পথঘাট চিনতে সুবিধা হয়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ইন্টারনেট,কম্পিউটার,ল্যান্ডফোন,মোবাইল ফোন,নিউট্রিনো সম্পর্কে সঠিকভাবে জানতে আমরা কোনটি ব্যবহার করব?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ENIAC,Alien,Dell,Apple,What is the name of first computer?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,IBM 1620,ICM 1900,IBM 360,Intel 3003,সর্বপ্রথম কম্পিউটার মডেল কত ছিল?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,মোবাইল,ফ্যাক্স,ক্যালকুলেটর,কম্পিউটার,ব্যক্তিগত যোগাযোগের জন্য এখন প্রায় সবাই ব্যবহার করছে-
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,এক ধরনের প্রযুক্তি,এক ধরনের বিনোদন,এক ধরনের পত্রিকা,এক ধরনের চ্যাটিং,তথ্য ও যোগাযোগ প্রযুক্তি আসলে কী?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,সংকেত,আলো,বায়ু,পানি,পৃথিবীকে ঘিরে যে উপগ্রহ ঘুরছে তা পৃথিবীতে কি পাঠায়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,গাড়িতে,বাড়িতে,কম্পিউটারে,স্ক্যানারে,বর্তমানে GPS ব্যবহার করা হচ্ছে-
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,টেলিভিশন,আইসিটি,ইন্টারনেট,মোবা,এখন বিনোদনের সবচেয়ে বড় মাধ্যম কী?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,জিপিএস,ইন্টারনেট,স্মার্টফোন,উপগ্রহ,কোনটি পৃথিবীর যে কোনো জায়গার অবস্থান বের করতে ফেলতে পারে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,উপগ্রহের সংকেত বিশ্লেষণ করে,রাস্তা ঘাট এর পরিচয় বহন করে,গ্লোবাল ঠিকানা নির্ধারণ করে,গাড়ির গতি রোধ করে,জিপিএস কি করে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,পথঘাট চিনতে,গাড়ি চালাতে,সিনেমা দেখতে,ইঞ্জিন ঠিক রাখতে,জিপিএস ড্রাইভারকে কোন বিষয়ে সাহায্য করে?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,Global positioning System,Generation Pocket Service,Gentel Pocket Service,General Pocket Socket,GPS -এর পূর্বনাম কী?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,সংকেত বিশ্লেষণ করে,ফোন করে,ডাটা বিশ্লেষণ করে,ছবি দেখে,মি. রায়হান সাহেব জিপিএস সংযুক্ত গাড়ি চালিয়ে শেরপুর যাওয়ার সময় কীভাবে বুঝবেন তিনি সঠিক পথে চলেছেন?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,জিপিএস,সাধারণ ম্যাপ,কম্পিউটার,মোবাইল ফোন,সেলিম সাহেব নিজে গাড়ি ড্রাইভিং করে নেত্রকোনায় যেতে চান। তিনি পথঘাট ঠিকমতো চিনেন না। তিনি এক্ষেত্রে কোনটির সাহায্য নিতে পারেন?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,Private Computer,Personal Computer,Picture Computer,Public Computer,PC অর্থ কী?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,কৃত্রিম উপগ্রহ,চাঁদ,মঙ্গল গ্রহ,বুধ গ্রহ,জিপিএসকে কোনটি সংকেত পাঠায়?
প্রাত্যহিক জীবনে তথ্য ও যোগাযোগ প্রযুক্তি,7,তথ্য ও যোগাযোগ প্রযুক্তি,1,ই-মেইল,ই-বুক,ই-গেম,ই-পোষ্ট,যেটির সাহায্যে ইলেকট্রনিক চিঠিপত্রের আদান-প্রদান করা যায় তার নাম কী?
