Chapter,Class,Subject,category,correct_ans,opt_1,opt_2,opt_3,question,serialno
আমার দেখা নয়াচীন,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বাংলাদেশ ও মানুষ,চীন দেশের,ভিনদেশের,বন্যপ্রাণীর,‘এই দেশ এই মানুষ’ গল্পে কাদের সম্পর্কে বলা হয়েছে?,1
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,বাংলা,ইংরেজি,হিন্দি,আরবি,বাঙালিরা কোন ভাষায় কথা বলে?,2
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,"১৫ মার্চ, ১৯৪৮","১৫ মার্চ, ১৯৪৯","২ ফেব্রুয়ারি, ১৯৪৯","২৩ ফেব্রুয়ারি, ১৯৫৩","ভাষা আন্দোলন করার জন্য বঙ্গবন্ধু ১১ মার্চ, ১৯৪৮ এ গ্রেফতার হয়ে কবে মুক্তি লাভ করেছিলেন?",3
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৫ বার,৯ বার,৭ বার,৩ বার,বঙ্গবন্ধু ‘কারাগারের রোজনামচা’ বইয়ের শুরুতে কয় বার জেলে যেতে বাধ্য হয়েছিলেন বলে উল্লেখ করেছেন?,4
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,২০ মিনিট,১ ঘণ্টা,৩০ মিনিট,৪০ মিনিট,১৯৫২ সালে বঙ্গবন্ধুকে পরিবারের সাথে দেখা করার জন্য কত সময় দেওয়া হতো?,5
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,কালা পাগড়িদের,নাইটগার্ডদের,মেটদের,কারোই নয়,‘কারাগারের রোজনামচা’য় উল্লেখ আছে কয়েদিদের মধ্যে কাদের ক্ষমতা সিপাহিদের সমান?,6
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,কম্বল ফ্যাক্টরি,পাগলা দফা,মুচি খাতা,দরজি খাতা,"“সাফসুতরা হয়ে গোসল না করলে আমাদের চিনতে পারবেন না, মাথা মুখ সারা শরীরে তুলা লেগে আমাদের চেহারা শয়তানের মতো হয়ে যায় বলে, ‘শয়তানের কল’ নাম দেওয়া হয়েছে। এখানে কীসের বর্ণনা দেওয়া হয়েছে?",7
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,১০ নং সেল,২০ নং সেল,৪০ নং সেল,১ নং সেল,‘কারাগারের রোজনামচাতে’ উল্লেখপূর্বক কোন সেলের চেয়ে খারাপ সেল ঢাকা জেলে নেই?,8
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,২৫ কোটি ৩১ লাখ,২৬ কোটি ৩ লাখ,১৯ কোটি ৯৯ লাখ,উদ্বৃত্ত ছিল,‘কারাগারের রোজনামচা’ হতে জানতে পারা যায় যে ১৯৬৬-৬৭ অর্থবছরে পূর্বপাকিস্তান বাজেটের মোট ঘাটতি ছিল-,9
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ইন্দোনেশিয়া,মালয়েশিয়া,ভিয়েতনাম,সিয়েরালিওন,১৯৬৬ সালে বাজেট ঘাটতি থাকা সত্ত্বেও কোন দেশকে ঋণ দিতে পাকিস্তান রাজি হয়েছিল বলে ‘কারাগারের রোজনামচা’ হতে জানা যায়?,10
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,৯৩টা,৯০টা,১০০টা,৪০টা,জেলের ভিতর সেলে কাদের রাখা হয় বলে ‘কারাগারের রোজনামচা’য় বর্ণনায় বঙ্গবন্ধু ঢাকা জেলে তৎকালীন সময়ে কয়টা সেল ছিল বলে উল্লেখ করেছেন?,11
কারাগারের রোজনামচা,বঙ্গবন্ধু শেখ মুজিবুর রহমান,বঙ্গবন্ধু শেখ মুজিবুর রহমান,1,ন্যাপ নেতা মিঃ মশিয়ুর রহমান,লিয়াকত আলী খান,মাওলানা আব্দুল হামিদ খান ভাসানী,নুরুল আমিন,"“ছয় দফা কর্মসূচী কার্যকর হইলে, পরিশেষে উহা সমস্ত দেশে এক বিচ্ছিন্নতাবাদী মনোভাব জাগাইয়া তুলিবে”। ছয় দফা দাবি সম্বন্ধে মতামত দিয়েছেন নিচের কোন জন?",12
